date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-08-15,Junction,Healthcare Tech / Diagnostics Data,Data Scientist (founding DS),Full-time,YC Work at a Startup,Applied,,76/100,"$180K-$220K + equity; fully remote EST; first/founding DS - owns methodology, experimentation, evaluation; submitted 2026-08-15 via YC board; 'why Junction' field filled from cover letter (no cover letter field); founder Maitham Dib reachable via YC board",main_junction.tex,cover_junction_data_scientist.tex,ycombinator.com/companies/junction/jobs/YdWprsU-data-scientist
2026-08-14,LexisNexis (RELX),Legal Tech / Information Analytics,Senior Data Scientist III,Full-time,Company site,Applied,Kevin Conroy (ex-TA) & Soha Khazaeli (Sr Mgr DS) via LinkedIn,72/100,"$115,400-$192,300; Raleigh NC (relocating); applied 2026-08-14; no cover letter field; LinkedIn outreach sent to Kevin Conroy + Soha Khazaeli 2026-08-14; Kevin replied 2026-08-14 - no longer at Lexis, forwarded contact along; FOLLOW UP Mithun Acharya on Monday 2026-08-17; Sachin Kumar on hold",main_lexisnexis_dsiii.tex,cover_lexisnexis_sr_data_scientist_iii.tex,LinkedIn 4443107221
2026-08-13,NobleAI,AI / Scientific ML,Senior Applied AI/ML Scientist,Full-time,Workable,Applied,"Austin Dulaney (Head of AI), Adrien Caudron (Head of Solutions Eng), Brittany Rollings (VP People & Ops) via LinkedIn",77/100,"$190K-$220K; remote US; physics-informed ML for energy/chemistry/manufacturing; applied 2026-08-13; LinkedIn connection requests sent to Dulaney, Caudron, Rollings; cover letter in documents/applications/nobleai_senior_applied_ai_ml_scientist/cover_letter.md",main_nobleai.tex,,apply.workable.com/noble-ai/j/256806EDF0/apply
2026-08-18,Harnham (recruiter for AI fraud prevention co),Fintech / Fraud Detection,Senior ML Engineer / ML Scientist,Full-time,LinkedIn (recruiter),Applied,Carina Hidalgo (Sourcing Consultant at Harnham),68/100,"$160K-$210K + bonus + RSUs; remote US; client likely Signifyd; experimentation frameworks, model evaluation, statistical rigor; 200+ applicants; US citizen/GC only; applied 2026-08-18 via Harnham",main_harnham.tex,cover_harnham_fraud_detection.tex,linkedin.com/jobs/view/senior-ml-engineer-ml-scientist-fraud-detection-at-harnham-4432290862
2026-08-18,Motion Recruitment (Adam Canton),Various / Recruiter,Data Scientist (via recruiter),Full-time,LinkedIn (recruiter),Applied,Adam James Canton (Executive Director, Staffing Solutions),,Motion Recruitment general DS CV shared 2026-08-18; call 2026-08-20 with Adam to discuss positions; multiple roles discussed (Fintech DS $100K-$180K primary interest),main_motion.tex,,linkedin.com/in/adamjamescanton
2026-08-19,Ford Motor Company,Automotive,Data Scientist (GDIA),Full-time,Company site,Cancelled/Filled,,70/100,"Dearborn MI (hybrid 4 days/week); $99,600-$192,900; GenAI/Agentic AI + traditional ML; RAG pipelines, GCP; applied 2026-08-19; submitted 2026-08-19; position cancelled or filled 2026-08-20",main_ford.tex,cover_ford_data_scientist.tex,apply.ford.com/en/sites/CX_1/job/65975
2026-05-26,College Board,Tech,Senior Data Scientist,Full-time,Company site,Unresponsive,,77/100,Expected response within 5 weeks; no update received,,,
2026-07-30,McGraw Hill LLC.,Education / K-12 EdTech,Lead Data Scientist (School/PreK-12),Full-time,Company site,Rejected,,71/100,Strong fit for K-12 EdTech; educational measurement + ML combination is key differentiator. $140K-$190K. Submitted 2026-07-30; rejected 2026-08-11.,main_mcgraw_hill.tex,cover_mcgraw_hill_lead_data_scientist.tex,careers.mheducation.com/jobs/6953
2026-07-30,micro1,AI Training / ML,Physics Professor/Researcher (PhD),Contractor,Himalayas,Accepted,,94/100,Remote; perfect fit for physics academic profile transitioning to AI training. No cover letter required. Submitted 2026-07-30; ACCEPTED 2026-08-19; onboarding in progress.,main_micro1.tex,,Himalayas.co
2026-07-30,Risepoint,EdTech,Principal Data Scientist,Full-time,Company site (MyWorkDay),Rejected,,68/100,Remote US; EdTech + higher-ed domain; submitted 2026-07-30; rejected 2026-08-18,main_risepoint.tex,cover_risepoint_principal_data_scientist.tex,risepoint.wd503.myworkdayjobs.com
2026-07-30,Machinify,Healthcare Tech / AI,Staff Data Scientist | NLP,Full-time,Greenhouse,Applied,,78/100,Remote US; NLP/LLM focus; strong fit for NLP research and production ML; submitted 2026-07-30,main_machinify.tex,cover_machinify_staff_data_scientist_nlp.tex,boards.greenhouse.io/machinifyinc
2026-07-29,Figma,Design / Collaboration,Data Scientist Core Data - PhD,Full-time,LinkedIn,Applied,,75/100,Remote US or NYC hub; PhD pipeline role; experimentation & causal inference focus,main_figma.tex,cover_figma_data_scientist_core_data.tex,LinkedIn job scraper
2026-07-29,NextEra Energy (via TEK Inspirations),Energy / Utilities,AI Developer IV,Contract (12mo),Email,Rejected,Kishan Kumar (kishan.kumar@tekinspirations.com),28/100,Remote; principal-level AI engineer role; weak fit but Kishan reached out directly; rejected 2026-08-19,main_nextera_energy.tex,cover_nextera_energy_ai_developer_iv.tex,TEK Inspirations outreach
2026-07-27,DC PCSB,Government / Education,Data Engineer - Analytics Products,Full-time,Company site,Removed before submission,,50/100,Position removed before submission; materials prepared,,,
2026-07-25,Pendo,Product Analytics / GTM Intelligence,Sr. Data Scientist,Full-time,LinkedIn,Rejected,,74/100,Hybrid Raleigh NC 3 days/week ~1.5hr commute from Greenville; no response; rejected 2026-08-19,main_pendo.tex,cover_pendo_sr_data_scientist.tex,LinkedIn job scraper
2026-07-25,Honeywell,Industrial Automation / Intelligent Automation,Advanced Data Scientist,Full-time,Glassdoor,Applied,,75/100,Hybrid Raleigh NC; SME Analytics team; reports to Fellow; $117K-$151K,main_honeywell.tex,cover_honeywell_advanced_data_scientist.tex,Glassdoor job scraper
2026-07-15,Red Hat,Tech,Principal Data Scientist,Full-time,Company site,Applied,,73/100,Remote-eligible; strong quant fit but gaps in production MLOps and model monitoring; still pending 2026-08-19,,,
2026-07-15,RELX (LexisNexis),Legal Tech / Information Analytics,Senior Data Scientist II,Full-time,Company site,Applied,,66/100,"Remote-eligible; strong Python/ML/NLP foundation; gaps in RAG, vector DBs, agent frameworks, legal domain; still pending 2026-08-19",,,
2026-08-09,State of North Carolina — Office of the State Auditor,Government / Public Sector,Senior Data Analyst — Data Analytics Division,Full-time,Workday,Referred to hiring manager,,,Wake County NC (Raleigh); applied via Simplify 2026-08-09; OSA Data Analytics Division supports audit efforts (dashboards, visualizations, fraud/trend detection); Workday status REFFERED TO HIRING MANAGER (as of 2026-08-30); open for job fair follow-up,,
2026-08-04,Arch Capital Group,Insurance / AI,Assistant Vice President AI,Full-time,Workday,Applied,,,Raleigh NC option; applied via Simplify,,
2026-07-07,Ford Motor Company,Automotive,Reliability Data Scientist,Full-time,Oracle,Rejected,,,Dearborn MI; applied via Simplify; rejected,,
2026-07-07,RTX,Aerospace / Defense,Senior Systems Integration Engineer,Full-time,Workday,Rejected,,,Indianapolis IN; applied via Simplify; rejected 2026-07-28,,
2026-07-02,Motional,Autonomous Vehicles,Machine Learning Engineer Data Mining,Full-time,Greenhouse,Rejected,,,Remote US; applied via Simplify; rejected 2026-08-14,,
2026-07-02,LexisNexis Risk Solutions,Legal Tech / Information Analytics,Senior Statistical Modeler,Full-time,Workday,Rejected,,,Remote US; applied via Simplify; rejected 2026-08-18,,
2026-06-16,Siemens,Industrial Automation,Principal Data Scientist,Full-time,LinkedIn,Rejected,,,Remote; applied via Simplify; rejected 2026-06-19,,
2026-06-23,Fidelity Investments,Financial Services,Data Science Director,Full-time,Workday,Applied,,68,Durham NC; applied via Simplify; still active in their system as of 2026-08-19,,,sWolfCV.pdf
2026-06-06,Red Hat,Tech,Senior Data Scientist Applied Analytics,Full-time,Workday,Rejected,,,Raleigh NC; applied via Simplify; rejected 2026-06-17,,
2026-06-08,Danaher,Life Sciences / Diagnostics,Data Scientist,Full-time,Workday,Rejected,,,Remote US; applied via Simplify; rejected 2026-06-12,,
2026-06-10,Machinify,Healthcare Tech / AI,Data Scientist,Full-time,Greenhouse,Unresponsive,,,Remote US; different position from 7/30 Staff DS NLP role; applied via Simplify; no response,,
2026-06-06,The Hartford,Insurance / Financial Services,Senior Applied AI Data Scientist,Full-time,Workday,Rejected,,,Hartford CT / Columbus OH / Chicago IL; applied via Simplify; rejected 2026-06-19,,
2026-06-06,Deloitte,Consulting,AI and Data Science Engineer 3,Full-time,Deloitte Careers,Rejected,,,Atlanta GA; applied via Simplify; rejected 2026-06-11,,
2026-05-22,Atlantic Casualty Insurance,Insurance,Test Automation Engineer II,Full-time,ADP,Unresponsive,,,Remote; applied via Simplify; no response or timeline provided,,
2026-05-12,NV5 Global,Engineering / Consulting,Statistician,Full-time,icims,Rejected,,,Remote US; applied via Simplify; rejected 2026-05-21,,
2026-04-17,Grow Therapy,Mental Health Tech,Staff Data Scientist,Full-time,Greenhouse,Rejected,,,NYC / SF / Seattle; applied via Simplify; rejected,,
2026-04-04,Harmony Labs,Research / Nonprofit,Senior Research Scientist,Full-time,Company site,Rejected,,,Remote; applied via Simplify; rejected,,
2026-02-23,Microsoft,Tech,Data Scientist II,Full-time,Unknown,Rejected,,,Remote; applied via Simplify; rejected,,
2026-02-06,General Motors,Automotive,Senior Software Engineer Behavior Validation,Full-time,Workday,Rejected,,,Remote CA; applied via Simplify; rejected 2026-02,,
2026-02-04,General Motors LLC,Automotive,HR Data Scientist People Analytics,Full-time,Workday,Rejected,,,Remote US; applied via Simplify; rejected 2026-02,,
2026-06-16,Ford Motor Company,Automotive,Data Scientist,Full-time,Oracle,Rejected,,,Remote US; applied via Simplify; rejected,,
2026-06-06,Red Hat,Tech,Senior Data Scientist,Full-time,Workday,Rejected,,,Raleigh NC; applied via Simplify; rejected,,
2026-05-22,Wex,Financial Services,Fraud / Credit Data Scientist,Full-time,Workday,Rejected,,,Remote US; applied via Simplify; rejected 2026-06-05,,
2026-05-14,OMG Technology,Tech,Data Scientist (Hybrid Raleigh NC),Full-time,BambooHR,Rejected,,,Raleigh NC; applied via Simplify; rejected 2026-05-22,,
2026-05-12,Waabi,Autonomous Vehicles,Senior Staff Applied Scientist,Full-time,Lever,Ghosted,,,Toronto ON; applied via Simplify; ghosted,,
2026-05-05,Underwriters Laboratories,Testing / Certification,Senior Research Statistician,Full-time,Workday,Rejected,,,Morrisville NC; applied via Simplify; rejected 2026-07-07,,
2026-05-05,Thermo Fisher Scientific,Life Sciences,Manager Digital & AI Integration,Full-time,Company site,Rejected,,,Greenville NC; applied via Simplify; rejected 2026-07-07,,
2026-02-04,Harmony Labs,Research / Nonprofit,Lead Research Scientist,Full-time,Company site,Rejected,,,Remote; applied via Simplify; rejected 2026-03-12,,
2026-01-30,Paylocity,HR Tech / SaaS,Senior Data Scientist,Full-time,Unknown,Rejected,,,Remote; applied via Simplify; rejected 2026-07-07,,
2026-01-27,Dropbox,Tech,Staff Data Scientist,Full-time,Greenhouse,Rejected,,,Remote US; applied via Simplify; rejected 2026-07-07,,
2026-01-27,McGraw Hill,Education,Sr Software Engineer Data & Analytics,Full-time,Unknown,Ghosted,,,Remote; applied via Simplify; ghosted,,
2026-01-22,Trillium,Healthcare / Pharma,Informatics Manager Data Systems,Full-time,ADP,Ghosted,,,Remote NC; applied via Simplify; ghosted,,
2026-01-15,Microsoft,Tech,Principal Data Science Manager,Full-time,Unknown,Ghosted,,,Remote; applied via Simplify; ghosted,,
2026-01-15,Extend,Fintech,Analyst Fraud Intelligence,Full-time,Greenhouse,Ghosted,,,Remote US; applied via Simplify; ghosted,,
2026-01-12,Insight Global,Consulting,Artificial Intelligence Engineer,Full-time,Unknown,Ghosted,,,Remote; applied via Simplify; ghosted,,
2026-01-12,Insight Global,Consulting,Data Management and Analytics Engineer SAS,Full-time,Unknown,Ghosted,,,Remote; applied via Simplify; ghosted,,
2025-12-18,Webflow,Tech,Staff Data Scientist,Full-time,Greenhouse,Rejected,,,Remote US; applied via Simplify; rejected 2025-12-24,,
2025-12-18,SumerSports,Sports Analytics,Senior Football Data Scientist,Full-time,Rippling,Ghosted,,,Remote US; applied via Simplify; ghosted,,
2025-12-09,Office of the State Auditor,Government,Data Analyst,Full-time,Workday,Rejected,,,Wake County NC; applied via Simplify; rejected 2026-02-02,,
2026-08-19,Charter Communications,Telecommunications / ISP,Lead Data Scientist,Full-time,Recruiter (Nakeeb Anjum),CV shared,Nakeeb Anjum (recruiter),62/100,"Charlotte NC (not in preferred relocation areas but 3hr from Greenville); CV requested by recruiter; no cover letter requested; CV compiled as main_charter_communications.tex",main_charter_communications.tex,,,
2026-08-08,U.S. Office of Personnel Management (OPM),Government / Public Sector,Data Scientist (GS-1560-13),Full-time,USAJobs,Applied,,,"Durham NC / Washington DC; Direct Hire Authority; submitted 2026-08-08; assessment completed 2026-08-14; announcement 26-ELS-13020559-DHA",,,
